text,label
"Australia's biggest aluminium producer, Comalco Ltd, plunged into the red on Monday, blaming weak prices, a strong local dollar and higher smelting costs. Comalco announced a loss of A$16.8 million (US$12.9 million) in calendar 1996, compared with a net profit after abnormals of A$232.3 million in 1995. Before abnormals, 1996 earnings were in line with market expectations at A$32.9 million, a fraction of the 1995 result. The result made only a brief dent in Comalco's share price, which was battered in recent months in anticipation of a slide in earnings. The shares fell eight cents on the news, but rebounded to end at A$6.88, up six cents from Friday's close. Comalco is owned 67 percent by global mining group RTZ-CRA, due to report its annual profit on Thursday. ""The market has pretty much factored in the loss and is now focusing on future earnings prospects,"" one share trader said. As expected, Comalco's smelting division played a part in the earnings nose-dive. It made a loss for the year, but this paled in comparison with the damage done to Comalco's earnings by the slump in aluminium prices and a strong local currency. ""The 1996 result was severely impacted by lower prices,"" chief executive Terry Palmer told reporters in Melbourne. The London Metal Exchange (LME) aluminium price averaged 70 U.S. cents a pound in 1996, compared with an average of 83 cents in 1995, the company said. The Australian dollar averaged 78 U.S. cents in 1996, four cents stronger than in 1995, it added. Comalco's premiums over the LME price also suffered. Together, the aluminium market and the local dollar pared a total of about A$201 from operating profit, overwhelming a rise in total production volumes, the company said. But Palmer painted a much brighter outlook, assuring investors that Comalco's aluminium production is set to climb and predicting a stronger aluminium price over 1997. Comalco saw firming global demand for the metal this year, fuelled by economic recovery in Europe and continued growth in the United States. ""Consumption in Asia is not expected to grow in 1997,"" the company said. Comalco also denied market speculation it might sell off its smelters and abandon its plan to build a A$1 billion alumina refinery in either Queensland state or Sarawak, Malaysia. Alumina, produced from bauxite, is the raw material for making aluminium. ""The current talk about that (withdrawing from smelting) is one hell of a way wide of the mark,"" Palmer said. ""The position with the alumina project remains unchanged,"" he added. Comalco hopes to start building the refinery, with annual capacity of one million to 1.5 million tonnes, in 1998. Site selection will depend heavily on the kind of power contracts Queensland and Malaysia can offer, Palmer said.",human
"Several high tech giants have come together to announce the release of a new CD-ReWriteable technology for early 1997. The technology is said to be priced below $1,000, which is expected to make it widely accessible to the public. The CD-ReWriteable technology was unveiled through a joint press conference by Hewlett-Packard, Sony, and Phillips. The new technology is expected to revolutionize the market as it allows people to rewrite over CDs, which brings the storage capacity of CDs to a whole new level. The CD-ReWriteable technology has numerous applications, especially in the realm of archiving and data storage. It provides an affordable and efficient method for people to store and save their files, which was once a daunting task, especially when it comes to large files and data. The technology easily outclasses other available options on the market since it can store up to 650 megabytes of data, about 74 minutes of audio, in a single disc, which is more than double what currently available technology can handle. Moreover, since it is rewritable, it can be used repeatedly to store new files and data multiple times, making it a highly economical solution. The new CD-ReWriteable technology is a result of years-long research and development by the three high tech giants. It is based on a technique called phase-change technology, which allows the laser beam to rewrite the data on the disc at varying speeds without compromising the integrity of the data already stored. The technology is expected to have a significant impact on the market, especially for small businesses and individuals who need cost-effective solutions to store their data. It is also speculated that it could lead to the creation of new markets for CD-ROMs as the re-writable feature allows for the storage of dynamic data that is updated regularly. Moreover, with the release of the CD-ReWriteable technology, consumers can expect a drop in the price of standard CD-ROMs since the market will be opened up to more economical alternatives. ""This is an exciting time for the industry and for all those who need to store and access their data regularly,"" said Koichi Suzuki of Sony. ""This release will allow for the efficient management of files and the creation of new opportunities within the market."" The CD-ReWriteable technology is a welcome sight for many people as they no longer need to worry about their data being lost or compromised. The technology is expected to be a hit among students, researchers, and professionals, who generate a large amount of data and need easily accessible and reliable storage solutions. In conclusion, the release of the CD-ReWriteable technology is a breakthrough in the field of storage technology, and it is expected to have a significant impact on the market. The technology's high capacity and affordability make it an ideal choice for people who need to constantly manage and store data. Furthermore, the technology could create new business opportunities, especially for small businesses who need to efficiently store their vital information.",ai
"Paris, France - Lagardere, the French multinational media conglomerate, has announced a deal that will ensure its electronics subsidiary, Lagardere Electronics, remains under French ownership. The agreement, made with French investment firm Acrotec, means that the company's jobs and digital TV know-how will remain rooted in French hands, much to the relief of employees and industry stakeholders. Lagardere Electronics, which specializes in the development and production of digital TV decoders and other electronics devices, has been owned by the Lagardere group since 2006. However, in recent years the company has faced increasing financial pressure, prompting rumors that it would be sold-off. ""We were deeply concerned about the future of our jobs and the state of the industry if Lagardere Electronics were to fall into foreign hands,"" said Francois Dupont, a representative of the company's employee union. ""But with this deal, we can all breathe a sigh of relief. This is a win for us - and a win for France."" Under the terms of the agreement, Acrotec will acquire a majority stake in Lagardere Electronics, while the Lagardere group will retain a 25% stake and a seat on the company's board of directors. This allows Lagardere to maintain a measure of control over the company's direction, while freeing it from the financial burden of operating a struggling subsidiary. ""This deal is a positive outcome for all parties involved,"" said Arnaud Lagardere, CEO of the Lagardere group. ""We are able to refocus our resources on our core businesses, while ensuring the continued growth of Lagardere Electronics under French ownership."" Many in the industry see the deal as a boost to France's position in the highly competitive electronics market. Lagardere Electronics has a strong reputation for expertise in digital TV technologies, and the agreement means that this knowledge will remain within France. ""This is a significant development for the French electronics industry,"" said Marie-Claire Balmes, a spokesperson for the French Electronics Federation. ""Lagardere Electronics is a major player in the sector, and keeping this expertise within French hands is essential for the long-term growth of the industry."" The deal is also seen as a positive sign for the French economy as a whole, which has been struggling in recent years to maintain competitiveness against other European countries. ""We are pleased to see the continued commitment of investors to the French market,"" said Jean-Claude Juncker, President of the European Commission. ""This deal is yet another example of the strength of French industry, and we hope to see more investments of this kind in the future."" As news of the deal spread, many employees at Lagardere Electronics expressed their gratitude for the security it will provide. Antoine Blanc, an engineer at the company, said, ""I've been with Lagardere for 10 years, and I was worried about what the future held for my colleagues and me. But this deal is excellent news. We can now look forward to continuing our work with the knowledge that our jobs are secure."" The agreement is expected to be finalized in the coming weeks, pending approval from French regulators. Once completed, Lagardere Electronics will be well-positioned to continue its growth as a major player in the French electronics industry – a welcome relief in difficult times.",ai
"MCI Communications Corp. said Monday it reached a 10-year deal with NextWave Telecom Inc. that thrusts MCI into the top tier of U.S. wireless communications providers. Under terms of the deal, MCI said it will connect its network to a system planned by NextWave to provide personal communications services, giving it the capacity to offer service to more than 110 million individuals in 63 areas, including 29 of the top 50 markets. Washington-based MCI said it will buy at least 10 billion minutes of capacity for its personal communications services from NextWave over 10 years. Terms of the deal were not disclosed. Personal communications services represent the new generation of celluar communications services, allowing customers to send both voice and data transmissions over wireless telephones. The deal will help underpin the financial future of debt-laden NextWave, which was the largest bidder in the U.S. Federal Communications Commission's auctions for ""C-band"" wireless radio spectrum held in early July. NextWave, based in San Diego and New York, also plans to sell stock to the public. For MCI, the deal enables it to expand quickly into the rapidly growing market for wireless personal communications services. Two years ago, MCI dropped out of the auctions for U.S. PCS licences after the bidding became too rich for its taste. But with the NextWave pact and previous smaller deals, MCI has moved to become a major reseller of wireless services. As part of the deal, NextWave selected MCI to provide telecommunications and other services supporting the development and ongoing operations of its personal communications services system, MCI said. ""This agreement with NextWave establishes an immediate nationwide PCS footprint for MCI and represents an important next step in MCI's wireless strategy,"" said Whitey Bluestein, vice president for MCI wireless strategy and development. ""This is the first full interconnection agreement of its kind and brings new competition to the wireless marketplace,"" he said, noting that with full interconnection, MCI does not need to own its own wireless facilities. MCI said the NextWave agreement is a model for additional agreements it expects to sign with other wireless providers as part of its wireless interconnected network strategy. The strategy is MCI's blueprint for developing a full range of wireless services and features that will be integrated into MCI's existing communications services. ""This was MCI's strategy all along,"" said Jeffrey Kagan, an Atlanta-based telecommunications industry analyst. Kagan said MCI has historically preferred to resell communications services initially rather than investing in its own infrastructure. Over time, the company selectively builds its own infrastructure as it proves profitable to do so. ""Reselling service was how they became a heavy hitter in long distance in the first place,"" Kagan said. ""What their plan is, is to resell service from other providers and build networks where they see the need to do so,"" he said. Kagan said MCI's deal with NextWave marks the rapid realisation of its reseller strategy. ""This all of a sudden puts MCI on the wireless communications map in a big way."" Still, he noted that AT&T Corp.'s AT&T Wireless unit, the former McCaw Cellular business, remains twice as large as MCI's cellular business, with about 6.5 million subscribers in geographic regions covering 207 million potential customers. MCI's deal with NextWave covers about 110 million potential customers living in a mix of metropolitan and less-densely populated areas. MCI's stock traded at $25.25 a share Monday, down 25 cents, on Nasdaq.",human
"Toronto, Canada - The city of Toronto is bracing for a near-total shutdown as protesters take to the streets to voice their opposition against the proposed budget cuts. The demonstration follows the release of the city's 2021 budget, which includes significant cuts to various programs and services, including public health, affordable housing, and education. Thousands of protesters have taken to the streets of Toronto to demonstrate against the proposed budget cuts. The protesters consist of various groups, including educators, healthcare workers, low-income families, and indigenous peoples, who argue that they will be the most negatively impacted by these cuts. The demonstration, which began peacefully, quickly turned violent as several groups of protesters broke away from the main group and began vandalizing public property. Protesters smashed windows of several businesses, and some even torched cars parked on the street. Police responded by trying to disperse the crowd with tear gas, but the violence continued. The situation escalated as police tried to contain the riots, causing several injuries and arrests. Toronto Mayor John Tory addressed the situation in a press conference, calling on the protestors to remain peaceful. ""I understand that people are upset about the proposed budget cuts, but resorting to violence and vandalism is not the answer. I urge everyone to remain calm and express their frustration through peaceful means."" The proposed budget cuts have been met with widespread criticism from individuals and organizations across Toronto and Canada. Critics argue that the cuts will disproportionately impact the most vulnerable members of the community, including low-income families, seniors, and indigenous peoples. One of the key cuts proposed in the budget is a reduction in public health funding, which includes a 10% cut to the city's public health budget. This cut is even more concerning as the city continues to battle the COVID-19 pandemic. The cuts also include a reduction in affordable housing funding and the closure of several community centers. The proposed budget cuts have also raised concerns from educators, who argue that the cuts will lead to a reduction in education quality. The cuts include a reduction in funding for school boards, which will result in larger class sizes and reduced resources for students and teachers. Critics argue that the city's budget cuts are a result of poor government decision-making, and that the government should focus on finding alternative solutions to balance the budget. The proposed budget cuts also come at a time when the government has increased spending on several large-scale projects, including the Toronto Transit Commission (TTC) expansion project. The budget cuts have also raised concerns about the city's ability to bounce back from the COVID-19 pandemic. The pandemic has hit the city's economy hard, with many businesses struggling to stay afloat. The proposed budget cuts could further worsen the city's economic situation, leading to higher unemployment rates and reduced economic activity. In response to the protests, the city's government has called for a dialogue with the protesters to discuss their concerns and find alternative solutions to the proposed budget cuts. However, the protesters have made it clear that they will not back down until the cuts are removed from the budget. The situation in Toronto remains tense, with the city on the brink of a near-total shutdown. The proposed budget cuts have led to widespread anger and frustration, and it is clear that the city's government will need to find alternative solutions to balance the budget without negatively impacting the most vulnerable members of the community. In the meanwhile, Toronto remains on edge, with the government and protesters locked in a standoff. The coming days will be crucial in determining the fate of the proposed budget cuts and the future of the city for years to come.",ai
"Nicola Horlick, the former chief executive of Morgan Grenfell Asset Management, has reportedly admitted to holding discussions with ABN AMRO before her suspension from Morgan Grenfell in 1997. Horlick, who was known at the time as one of the most prominent women in finance, left Morgan Grenfell following allegations that she had encouraged colleagues to invest in a film scheme that was later found to be a tax avoidance scheme. She vehemently denied the allegations and sued her former employer for wrongful dismissal. Now, over two decades later, Horlick has reportedly stated that she had indeed held talks with ABN AMRO while still employed at Morgan Grenfell. However, in an interview with Sky News, Horlick denies any wrongdoing and states that the discussions were entirely above board. According to Horlick, the discussions with ABN AMRO were centered around establishing a new business line within Morgan Grenfell that would focus on high-net-worth individuals. Horlick states that she had informed Morgan Grenfell of the discussions and that they were fully aware of her intentions. Despite this, Horlick was suspended from her role at Morgan Grenfell and subsequently left the company. The suspension was in relation to the film scheme allegations, rather than any discussions with ABN AMRO. Horlick has stated that she believes her suspension was unrelated to the discussions with ABN AMRO and that she was simply a victim of a wider scandal within the investment bank. She has called for an independent inquiry into the events of 1997, stating that the true facts have never been fully disclosed. The revelations come as the financial industry is facing increased scrutiny over its treatment of women and the lack of diversity within its ranks. Horlick, who has been a vocal advocate for women in finance, has stated that the industry still has a long way to go in terms of addressing these issues. In a separate interview with the Financial Times, Horlick has called for more women to be appointed to senior positions within the finance industry. She has argued that greater diversity will lead to better decision-making and ultimately better outcomes. The revelations about Horlick's discussions with ABN AMRO will likely cast a new light on her departure from Morgan Grenfell and the wider scandal that engulfed the investment bank. However, Horlick remains adamant that she did nothing wrong and that her intentions were entirely honorable. The financial industry will no doubt be watching developments closely, particularly in light of the renewed focus on diversity and gender equality. Whatever the outcome, the story serves as a reminder of the challenges still faced by women in finance and the importance of transparency and accountability in the sector.",ai
"Sainsbury's, the British supermarket giant, has announced plans to launch a new bank in partnership with Bank of Scotland, as they look to expand their financial services offering. The new bank, which will be jointly owned by both companies, is expected to begin operations by the end of 2021. According to the announcement, the new bank will focus on providing a range of innovative and competitive financial products to Sainsbury's customers across the United Kingdom. It will offer everything from savings accounts and personal loans to credit cards and insurance products, with a particular focus on digital banking services. ""This is an exciting new chapter in our journey to offer our customers more choice and value in everything we do,"" said Simon Roberts, Sainsbury's CEO. ""We are delighted to be partnering with Bank of Scotland, a trusted and established institution with a strong track record in financial services."" The move is part of Sainsbury's broader strategy to expand its reach beyond the traditional supermarket sector and become a more diversified and integrated retailer. Following the Covid-19 pandemic, the company has been looking for ways to adapt to changing consumer habits and preferences, with a greater focus on e-commerce and digital services. ""We know that our customers are increasingly looking for convenient and accessible ways to manage their finances,"" said Roberts. ""By launching this joint venture with Bank of Scotland, we can offer them a broader range of financial products and services than ever before."" The partnership between Sainsbury's and Bank of Scotland is not the first of its kind in the UK. Several other supermarkets, including Tesco and Marks & Spencer, already operate their own banking services, with varying degrees of success. However, Sainsbury's hopes to bring a unique combination of convenience, customer service, and value to the market, setting itself apart from its competitors. ""We believe that Sainsbury's Bank can offer something truly different and compelling to customers,"" said Roberts. ""Our focus will be on delivering great value, innovative products, and outstanding customer service, all backed by the strength and credibility of Bank of Scotland."" The news has been well-received by industry experts, who have praised Sainsbury's for its strategic vision and bold move into the financial services sector. ""This is a smart move by Sainsbury's,"" said Paul O'Connor, Head of Multi-Asset at Janus Henderson Investors. ""Expanding its reach into banking gives the company a new source of revenue and a way to deepen customer relationships. It also highlights the growing importance of digital services in the retail sector, which will only become more valuable in the years ahead."" With the launch of its new banking services imminent, Sainsbury's is set to become an even more formidable player in the increasingly competitive retail landscape of the UK. As consumers continue to embrace digital services and e-commerce, the company's decision to diversify its offerings could prove to be a shrewd investment.",ai
"Ethical Holdings, a leading UK-based pharmaceutical company, is set to make a splash in the US market with a significant increase in Research and Development (R&D) spending. The company has announced that it will be investing heavily in R&D over the next few years, with a particular focus on developing new treatments for cancer and other debilitating diseases. According to Ethical Holdings CEO, Dr. Sarah Cooper, the increased investment in R&D is part of the company's long-term strategy to expand its global footprint and become a major player in the US pharmaceutical market. ""As a company, we are committed to improving the lives of people around the world through our innovative treatments and therapies,"" said Dr. Cooper. ""Expanding our R&D capabilities is key to realizing that vision, and we believe that the US market offers enormous potential for growth and impact."" The company's R&D spending is expected to rise by over 30% in the coming years, with a significant portion of that investment earmarked for new drug discovery and development. Ethical Holdings currently has a robust pipeline of drugs in various stages of development, and the increased investment will enable the company to accelerate the development of these treatments and potentially bring them to market sooner. Ethical Holdings' push into the US market comes at a time of growing demand for new and more effective treatments for a range of diseases. Cancer remains one of the leading causes of death in the US, and the market for cancer treatments alone is expected to reach $200 billion by 2024. In addition to cancer, Ethical Holdings is also developing treatments for a range of other diseases, including Alzheimer's, Parkinson's, and multiple sclerosis. The company's innovative approach to drug development has already garnered attention in the UK and other markets, and it is hoped that this success will translate to the highly competitive US market. Ethical Holdings' commitment to ethical and sustainable business practices is also likely to resonate with US consumers, who are increasingly concerned about the environmental and social impact of the products they buy. The company has a strong track record of investing in sustainable manufacturing processes and reducing its carbon footprint, which could help to differentiate it from competitors in the US market. Overall, Ethical Holdings' bold investment in R&D and expansion into the US market is likely to be well received by investors and consumers alike. With its innovative approach and commitment to ethical business practices, the company is well positioned to make a significant impact on the global pharmaceutical industry in the years to come.",ai
"On Monday morning, a group of angry protesters took to the streets of downtown Toronto, forcing the city's subway system to shut down during the morning rush hour. The protesters, who were demonstrating against a recent police shooting, also caused several businesses in the area to close down temporarily. The demonstration began at around 8:30 am outside the police station on College Street, where a small group of protesters had gathered to demand justice for Regis Korchinski-Paquet, a woman who was killed by police on May 27th. Korchinski-Paquet, who was suffering from mental health issues, fell from the balcony of her 24th-floor apartment while police were in her home responding to a domestic disturbance call. The circumstances surrounding Korchinski-Paquet's death have been the subject of much controversy in the city, with many calling for an independent investigation into the incident. The protesters on Monday echoed these calls, brandishing signs that read ""Justice for Regis"" and ""Defund the Police."" As the demonstration grew in size, the protesters began to march towards the subway station at Dundas Square. They quickly blocked off the entrances to the station, preventing commuters from entering or exiting. The TTC, which operates Toronto's subway system, quickly announced that trains would not be running on the Yonge-University-Spadina line, which passes through downtown Toronto, until further notice. The shutdown caused chaos for commuters, many of whom were left stranded on busy streets and unable to get to work on time. ""I was on my way to an important meeting when I saw the crowds and heard the shouting,"" said one woman who wished to remain anonymous. ""It was really frustrating because I had no idea how I was going to get to my destination."" The protesters continued to march through the streets, making their way towards Yonge Street, one of Toronto's busiest shopping districts. As they marched, several shops and restaurants were forced to close their doors temporarily, as staff and customers feared for their safety. Business owner David Lee told reporters that he was forced to close his restaurant for several hours due to the protest. ""We had to turn away customers and shut down our kitchen because we were worried about the safety of our staff,"" he said. ""It's frustrating because we had a packed lunch service booked, and now we'll have to reschedule all those guests."" Despite the disruption caused by the protest, many Torontonians voiced their support for the demonstrators' cause. ""I think it's really important for people to speak out against police brutality,"" said one man who was observing the protest from the sidelines. ""It's the only way for change to happen."" The protest eventually petered out around noon, with the protesters dispersing peacefully. The subway system remained closed for several hours, causing further traffic problems throughout the city. The TTC announced that normal service had resumed by mid-afternoon, but the disruption caused by the protest continued to be felt throughout the day. The incident has raised questions about how far protesters should be allowed to go in order to make their voices heard. Some have criticized the demonstrators for disrupting the lives of innocent commuters and business owners, while others argue that protests are a necessary part of a healthy democracy. Regardless of the debate, it is clear that the incident on Monday has left a lasting impact on the city of Toronto. As the city continues to grapple with issues of police brutality and social justice, it remains to be seen what further protests and disruptions may lie ahead.",ai
"An influential Internet organisation has backed away from a proposal to dramatically expand the number of addresses available on the global computer network. The Internet Society, which helps develop and coordinate Internet standards, announced this week that instead of moving ahead with the proposal it would form a nine-member committee to study the issue. Unveiled in August, the proposal was an attempt to quell the growing number of disputes over desirable address names. ""There just seems to be no consensus at all,"" said Don Heath, president of the society. A variety of objections and questions have been raised about the August proposal, from technical networking issues to concerns about protection for trademarks and intellectual property. ""We thought we should try to pull it all together and have a good cross-section of people to discuss it and see if we can't reach a consensus,"" he said. The new committee ought to finish its work by early next year and new names could be doled out four to six months later, Heath said. The committee could decide not to go forward with any address expansion, but Heath said that was an unlikely outcome. ""The facts of life are that people want descriptive names and vanity plates,"" Heath said. Disputes over Internet names are occuring with increasing frequency as more companies seek to publicise and market their products over the Net. For example, Viacom Inc.'s MTV cable music channel fought with one of its employees who had registered ""mtv.com,"" eventually regaining control of the name in an out-of-court settlement. Every site on the World Wide Web must have a unique address name. Most addresses end with one of a few three letter designations, known as top-level domains, including ""com"" for private sites, ""gov for government sites and ""edu"" for sites run by schools. In August, Internet Assigned Numbers Authority said it would oversee the creation of up to 150 new top level domains, easing the squeeze, especially for names in the private sector category. The authority, operating under charter from the society and the Federal Network Council, is the central coordinator of Internet addresses and other standards. The society's board of trustees voted in June to accept a preliminary version of the numbers authority proposal, with the proviso that the business aspects of proposal be fleshed out. But with the ensuing controversy, the society decided a committee was needed to reexamine the proposal, Heath said. The committee will meet confer mostly by telephone and online, though an open forum is planned for mid-December in California. The committee will include two members appointed by the society, two by the numbers authority and two by the Internet Architecure Board. The International Telecommunication Union, the World Intellectual Property Organisation and the International Trademark Association will each appoint one member.",human
