chat_id,run,llm_score
1,1,80.6
2,1,70.7
3,1,78.4
4,1,80.5
5,1,78.7
6,1,75.1
7,1,72.1
8,1,67.9
9,1,57.5
10,1,77.3
11,1,71.0
12,1,77.4
13,1,67.0
14,1,73.3
15,1,78.2
16,1,72.1
17,1,73.0
18,1,78.0
19,1,67.8
20,1,79.6
21,1,67.8
22,1,68.6
23,1,79.5
24,1,69.8
25,1,66.5
26,1,81.6
27,1,70.6
28,1,66.7
29,1,77.1
30,1,69.7
31,1,62.9
32,1,70.5
33,1,74.3
34,1,62.2
35,1,66.6
36,1,75.5
37,1,65.4
38,1,65.0
39,1,75.4
40,1,75.8
41,1,68.2
42,1,76.8
43,1,72.9
44,1,76.5
45,1,61.5
46,1,68.4
47,1,75.8
48,1,66.0
49,1,72.6
50,1,62.1
51,1,75.2
52,1,70.1
53,1,77.4
54,1,76.4
55,1,69.4
56,1,72.0
57,1,69.6
58,1,77.7
59,1,64.8
60,1,66.8
61,1,73.6
62,1,62.5
63,1,68.2
64,1,75.4
65,1,71.5
66,1,62.0
67,1,71.5
68,1,91.0
69,1,55.1
70,1,75.8
71,1,71.9
72,1,67.7
73,1,77.1
74,1,64.4
75,1,82.6
76,1,66.4
77,1,80.8
78,1,72.8
79,1,72.6
80,1,76.2
81,1,81.0
82,1,63.7
83,1,71.4
84,1,75.9
85,1,61.7
86,1,71.1
87,1,78.0
88,1,70.0
89,1,52.1
90,1,58.4
91,1,73.6
92,1,68.1
93,1,62.5
94,1,67.0
95,1,70.9
96,1,72.4
97,1,64.5
98,1,66.5
99,1,85.2
100,1,73.4
101,1,72.9
102,1,72.0
103,1,66.2
104,1,63.7
105,1,68.3
106,1,68.9
107,1,67.8
108,1,59.2
109,1,64.1
110,1,77.0
111,1,68.6
112,1,76.4
113,1,70.0
114,1,73.4
115,1,73.9
116,1,75.2
117,1,55.6
118,1,72.2
119,1,67.4
120,1,74.3
121,1,73.8
122,1,82.5
123,1,77.0
124,1,66.7
125,1,78.6
126,1,68.0
127,1,69.8
128,1,69.6
129,1,67.4
130,1,71.8
131,1,71.9
132,1,70.9
133,1,80.7
134,1,75.4
135,1,84.2
136,1,59.6
137,1,62.0
138,1,71.8
139,1,63.3
140,1,70.1
141,1,67.8
142,1,70.3
143,1,53.4
144,1,57.5
145,1,60.9
146,1,64.1
147,1,79.2
148,1,67.5
149,1,68.6
150,1,69.2
151,1,75.1
152,1,67.6
153,1,66.9
154,1,71.3
155,1,79.1
156,1,73.7
157,1,75.5
158,1,80.2
159,1,68.4
160,1,73.2
161,1,69.5
162,1,58.4
163,1,79.9
164,1,54.0
165,1,84.1
166,1,75.3
167,1,62.9
168,1,76.3
169,1,77.1
170,1,55.9
171,1,59.2
172,1,83.2
173,1,74.1
174,1,86.9
175,1,76.6
176,1,73.2
177,1,74.9
178,1,71.5
179,1,74.0
180,1,79.9
181,1,62.0
182,1,80.5
183,1,72.6
184,1,72.7
185,1,70.9
186,1,66.9
187,1,81.6
188,1,76.5
189,1,64.7
190,1,82.0
191,1,55.4
192,1,73.8
193,1,70.3
194,1,59.1
195,1,71.6
196,1,79.4
197,1,72.5
198,1,79.1
199,1,66.0
200,1,73.8
201,1,66.7
202,1,66.9
203,1,63.0
204,1,65.3
205,1,80.1
206,1,88.7
207,1,75.6
208,1,74.7
209,1,86.8
210,1,72.8
211,1,58.0
212,1,65.9
213,1,72.1
214,1,76.4
215,1,65.7
216,1,82.1
217,1,65.1
218,1,80.1
219,1,67.8
220,1,64.7
221,1,80.7
222,1,67.5
223,1,71.1
224,1,77.6
225,1,67.2
226,1,81.1
227,1,74.1
228,1,72.0
229,1,61.8
230,1,86.8
231,1,64.0
232,1,65.3
233,1,71.8
234,1,76.0
235,1,67.4
236,1,62.5
237,1,64.6
238,1,69.5
239,1,71.1
240,1,65.0
241,1,73.2
242,1,71.1
243,1,53.7
244,1,66.7
245,1,73.3
246,1,65.6
247,1,65.4
248,1,69.1
249,1,69.1
250,1,66.0
251,1,78.2
252,1,63.6
253,1,76.3
254,1,63.2
255,1,73.0
256,1,82.1
257,1,78.2
258,1,64.6
259,1,65.6
260,1,59.7
261,1,73.8
262,1,55.9
263,1,62.9
264,1,69.5
265,1,73.8
266,1,60.3
267,1,66.6
268,1,64.0
269,1,71.1
270,1,60.5
271,1,70.2
272,1,66.7
273,1,78.2
274,1,62.2
275,1,73.8
276,1,80.2
277,1,54.2
278,1,61.7
279,1,68.5
280,1,73.0
281,1,66.3
282,1,51.3
283,1,75.6
284,1,63.5
285,1,70.9
286,1,64.9
287,1,63.3
288,1,81.6
289,1,61.5
290,1,86.7
291,1,80.7
292,1,56.0
293,1,72.4
294,1,76.1
295,1,61.3
296,1,70.9
297,1,70.0
298,1,75.8
299,1,77.7
300,1,61.6
301,1,80.1
302,1,82.2
303,1,52.8
304,1,72.4
305,1,71.4
306,1,60.7
307,1,82.9
308,1,68.3
309,1,65.7
310,1,70.1
311,1,61.1
312,1,72.4
313,1,70.6
314,1,66.9
315,1,75.6
316,1,77.7
317,1,77.0
318,1,74.1
319,1,72.4
320,1,70.3
321,1,72.0
322,1,72.0
323,1,57.6
324,1,61.2
325,1,72.4
326,1,61.5
327,1,63.8
328,1,72.3
329,1,63.8
330,1,80.7
331,1,79.4
332,1,68.9
333,1,76.2
334,1,60.6
335,1,67.0
336,1,65.5
337,1,69.1
338,1,61.1
339,1,70.5
340,1,74.7
341,1,67.8
342,1,72.5
343,1,80.5
344,1,72.8
345,1,76.4
346,1,71.5
347,1,75.0
348,1,72.4
349,1,71.2
350,1,66.5
351,1,56.5
352,1,67.0
353,1,78.8
354,1,61.4
355,1,77.0
356,1,57.3
357,1,79.0
358,1,70.6
359,1,68.8
360,1,74.2
361,1,73.3
362,1,65.8
363,1,71.0
364,1,77.2
365,1,88.2
366,1,68.1
367,1,68.7
368,1,70.0
369,1,88.3
370,1,63.8
371,1,75.5
372,1,68.0
373,1,61.4
374,1,74.9
375,1,85.7
376,1,74.6
377,1,74.2
378,1,80.0
379,1,81.4
380,1,75.2
381,1,79.2
382,1,84.6
383,1,76.3
384,1,63.3
385,1,64.1
386,1,68.6
387,1,60.1
388,1,75.9
389,1,65.6
390,1,74.9
391,1,67.8
392,1,69.7
393,1,70.0
394,1,73.0
395,1,65.9
396,1,69.3
397,1,60.4
398,1,72.8
399,1,63.7
400,1,84.4
401,1,82.4
402,1,80.4
403,1,77.9
404,1,70.6
405,1,65.8
406,1,76.5
407,1,67.1
408,1,61.3
409,1,65.5
410,1,61.0
411,1,64.7
412,1,61.6
413,1,68.7
414,1,65.0
415,1,64.8
416,1,69.8
417,1,79.5
418,1,78.5
419,1,66.3
420,1,60.6
421,1,75.7
422,1,71.8
423,1,70.9
424,1,70.5
425,1,61.2
426,1,74.5
427,1,61.2
428,1,74.6
429,1,67.5
430,1,77.2
431,1,70.4
432,1,66.2
433,1,55.0
434,1,63.7
435,1,67.5
436,1,67.9
437,1,69.0
438,1,74.6
439,1,56.4
440,1,63.5
441,1,59.2
442,1,58.8
443,1,81.6
444,1,58.0
445,1,64.2
446,1,81.8
447,1,78.2
448,1,66.7
449,1,65.4
450,1,62.2
451,1,80.5
452,1,65.4
453,1,66.0
454,1,71.6
455,1,79.2
456,1,76.4
457,1,83.0
458,1,78.0
459,1,75.1
460,1,66.3
461,1,69.4
462,1,70.5
463,1,66.0
464,1,72.3
465,1,75.5
466,1,71.5
467,1,70.3
468,1,61.7
469,1,67.7
470,1,87.7
471,1,63.0
472,1,68.4
473,1,75.2
474,1,69.0
475,1,61.8
476,1,63.5
477,1,81.0
478,1,70.0
479,1,64.7
480,1,76.9
481,1,70.1
482,1,68.2
483,1,85.6
484,1,73.5
485,1,87.2
486,1,59.7
487,1,74.3
488,1,77.5
489,1,80.0
490,1,65.6
491,1,73.1
492,1,65.1
493,1,82.5
494,1,73.5
495,1,75.2
496,1,65.3
497,1,79.8
498,1,60.0
499,1,81.2
500,1,63.6
501,1,79.6
502,1,72.2
503,1,80.5
504,1,65.3
505,1,72.4
506,1,70.4
507,1,70.9
508,1,70.9
509,1,70.6
510,1,76.5
511,1,81.5
512,1,65.8
513,1,75.4
514,1,66.7
515,1,79.0
516,1,63.4
517,1,78.1
518,1,51.7
519,1,66.3
520,1,63.8
521,1,61.9
522,1,81.2
523,1,55.6
524,1,71.6
525,1,71.8
526,1,59.5
527,1,74.0
528,1,72.0
529,1,77.3
530,1,70.3
531,1,59.3
532,1,81.3
533,1,76.9
534,1,65.9
535,1,74.1
536,1,69.4
537,1,70.1
538,1,68.2
539,1,75.4
540,1,73.5
541,1,65.5
542,1,73.9
543,1,70.2
544,1,88.3
545,1,75.8
546,1,70.3
547,1,71.6
548,1,80.6
549,1,72.4
550,1,73.4
551,1,59.0
552,1,67.2
553,1,64.8
554,1,77.7
555,1,69.8
556,1,65.5
557,1,76.6
558,1,71.9
559,1,66.4
560,1,73.8
561,1,81.3
562,1,70.9
563,1,67.0
564,1,49.1
565,1,68.7
566,1,61.6
567,1,67.3
568,1,67.6
569,1,81.7
570,1,74.7
571,1,75.6
572,1,68.3
573,1,79.9
574,1,70.2
575,1,71.0
576,1,67.2
577,1,60.9
578,1,78.6
579,1,76.3
580,1,62.5
581,1,66.7
582,1,79.6
583,1,80.1
584,1,73.6
585,1,64.5
586,1,71.4
587,1,70.5
588,1,63.8
589,1,73.4
590,1,73.6
591,1,67.1
592,1,75.0
593,1,70.0
594,1,77.4
595,1,73.6
596,1,61.8
597,1,71.0
598,1,67.6
599,1,63.5
600,1,71.0
601,1,78.8
602,1,50.8
603,1,81.4
604,1,68.9
605,1,64.4
606,1,67.0
607,1,61.7
608,1,62.8
609,1,76.9
610,1,82.3
611,1,64.9
612,1,79.3
613,1,66.3
614,1,75.5
615,1,78.3
616,1,75.2
617,1,75.8
618,1,60.1
619,1,49.3
620,1,77.5
621,1,72.8
622,1,56.3
623,1,85.6
624,1,61.0
625,1,64.3
626,1,63.5
627,1,70.2
628,1,51.3
629,1,67.1
630,1,80.2
631,1,75.5
632,1,61.6
633,1,70.0
634,1,81.5
635,1,68.0
636,1,66.3
637,1,64.8
638,1,71.7
639,1,71.4
640,1,67.2
641,1,74.8
642,1,67.4
643,1,69.2
644,1,72.3
645,1,70.4
646,1,64.2
647,1,76.6
648,1,73.6
649,1,75.7
650,1,61.2
651,1,67.6
652,1,87.5
653,1,68.0
654,1,56.0
655,1,68.3
656,1,74.7
657,1,72.0
658,1,68.0
659,1,74.5
660,1,85.8
661,1,67.0
662,1,73.0
663,1,61.8
664,1,81.9
665,1,72.2
666,1,78.5
667,1,57.8
668,1,70.8
669,1,74.0
670,1,66.8
671,1,68.0
672,1,70.1
673,1,67.7
674,1,61.9
675,1,74.6
676,1,64.7
677,1,74.6
678,1,69.5
679,1,73.0
680,1,58.3
681,1,74.4
682,1,71.4
683,1,75.5
684,1,72.2
685,1,81.1
686,1,75.3
687,1,67.0
688,1,74.1
689,1,82.1
690,1,79.7
691,1,76.9
692,1,60.7
693,1,75.7
694,1,71.8
695,1,79.5
696,1,78.9
697,1,75.8
698,1,72.7
699,1,73.9
700,1,68.1
701,1,68.0
702,1,71.5
703,1,61.3
704,1,68.6
705,1,77.4
706,1,81.5
707,1,65.0
708,1,70.0
709,1,79.8
